,Sample,Actual_Control_CR,Actual_Treatment_CR,Round,Control_Clicks,Control_Sale,Control_CR,Treatment_Clicks,Treatment_Sale,Treatment_CR,Bayesian_Lift,Prob,Z-value,P-value,Freq_Lift
799,79,1.40%,1.46%,9,10882,154,1.42%,11774,176,1.49%,5.5%,69.0%,-0.499880547,0.61715919,5.6%
800,80,4.67%,4.60%,0,35711,1586,4.44%,35006,1644,4.70%,5.7%,94.8%,-1.624736638,0.104218687,5.7%
801,80,4.67%,4.60%,1,44049,2113,4.80%,43968,1952,4.44%,-7.4%,0.6%,2.525534951,0.011552229,-7.4%
802,80,4.67%,4.60%,2,7033,341,4.85%,6735,312,4.63%,-4.4%,27.6%,0.596206561,0.551037243,-4.5%
803,80,4.67%,4.60%,3,1894,95,5.02%,1717,94,5.47%,9.1%,73.3%,-0.61825215,0.536409139,9.1%
804,80,4.67%,4.60%,4,32250,1491,4.62%,34667,1602,4.62%,-0.1%,49.4%,0.013213572,0.989457402,0.0%
805,80,4.67%,4.60%,5,24623,1193,4.85%,23220,1164,5.01%,3.5%,80.2%,-0.847871178,0.396509718,3.5%
806,80,4.67%,4.60%,6,30440,1411,4.64%,32355,1489,4.60%,-0.7%,42.1%,0.198568931,0.842599959,-0.7%
807,80,4.67%,4.60%,7,27465,1277,4.65%,26291,1268,4.82%,3.7%,82.8%,-0.946244646,0.344023819,3.7%
808,80,4.67%,4.60%,8,48424,2288,4.72%,46493,2164,4.65%,-1.5%,30.4%,0.513281789,0.607754221,-1.5%
809,80,4.67%,4.60%,9,15209,690,4.54%,13778,598,4.34%,-4.3%,20.9%,0.810951076,0.417393767,-4.3%
810,81,3.22%,3.37%,0,22479,784,3.49%,24396,832,3.41%,-2.2%,32.3%,0.458300126,0.646736833,-2.2%
811,81,3.22%,3.37%,1,41040,1335,3.25%,40787,1369,3.36%,3.2%,79.6%,-0.828431152,0.40742637,3.2%
812,81,3.22%,3.37%,2,46847,1568,3.35%,54049,1828,3.38%,1.0%,62.0%,-0.307876566,0.758176258,1.0%
813,81,3.22%,3.37%,3,39691,1342,3.38%,42068,1449,3.44%,1.9%,69.1%,-0.498214731,0.6183327,1.9%
814,81,3.22%,3.37%,4,16401,495,3.02%,16663,536,3.22%,6.6%,85.0%,-1.038815515,0.298890544,6.6%
815,81,3.22%,3.37%,5,48103,1522,3.16%,51135,1707,3.34%,5.5%,93.9%,-1.545570565,0.122208315,5.5%
816,81,3.22%,3.37%,6,17571,564,3.21%,16518,573,3.47%,8.1%,90.9%,-1.331511071,0.183020904,8.1%
817,81,3.22%,3.37%,7,40535,1288,3.18%,38185,1312,3.44%,8.1%,97.9%,-2.027523496,0.042608904,8.1%
818,81,3.22%,3.37%,8,33681,1090,3.24%,33568,1112,3.31%,2.4%,71.1%,-0.556872203,0.577614748,2.4%
819,81,3.22%,3.37%,9,48777,1574,3.23%,43487,1513,3.48%,7.8%,98.3%,-2.127032828,0.033417356,7.8%
820,82,6.79%,6.54%,0,21962,1472,6.70%,21747,1430,6.58%,-1.9%,29.7%,0.532662265,0.594267392,-1.9%
821,82,6.79%,6.54%,1,38646,2656,6.87%,38681,2555,6.61%,-3.9%,6.9%,1.482640896,0.138169845,-3.9%
822,82,6.79%,6.54%,2,2086,138,6.62%,2100,122,5.81%,-12.1%,14.0%,1.080299335,0.280008906,-12.2%
823,82,6.79%,6.54%,3,4546,299,6.58%,4462,306,6.86%,4.3%,70.3%,-0.532159757,0.594615353,4.3%
824,82,6.79%,6.54%,4,27141,1860,6.85%,27255,1784,6.55%,-4.5%,7.6%,1.434387597,0.151461685,-4.5%
825,82,6.79%,6.54%,5,18727,1245,6.65%,16954,1083,6.39%,-3.9%,16.0%,0.994200328,0.320125349,-3.9%
826,82,6.79%,6.54%,6,36599,2476,6.77%,36799,2419,6.57%,-2.8%,14.9%,1.040648511,0.298038708,-2.8%
827,82,6.79%,6.54%,7,11280,752,6.67%,11319,704,6.22%,-6.7%,8.6%,1.368616134,0.171119298,-6.7%
828,82,6.79%,6.54%,8,13683,910,6.65%,13153,842,6.40%,-3.7%,20.5%,0.825482665,0.409097621,-3.7%
829,82,6.79%,6.54%,9,23870,1670,7.00%,22713,1417,6.24%,-10.8%,0.1%,3.285288667,0.001018779,-10.8%
830,83,3.24%,3.24%,0,22882,793,3.47%,22878,696,3.04%,-12.2%,0.5%,2.552258089,0.01070272,-12.2%
831,83,3.24%,3.24%,1,35827,1133,3.16%,36029,1222,3.39%,7.2%,95.8%,-1.726085611,0.084332012,7.3%
832,83,3.24%,3.24%,2,31667,973,3.07%,32839,1044,3.18%,3.5%,78.1%,-0.777297103,0.436983504,3.5%
833,83,3.24%,3.24%,3,30320,972,3.21%,28891,934,3.23%,0.8%,57.4%,-0.186307635,0.85220352,0.8%
834,83,3.24%,3.24%,4,5541,183,3.30%,6074,181,2.98%,-9.8%,15.9%,0.99711599,0.318708212,-9.8%
835,83,3.24%,3.24%,5,43769,1416,3.24%,45858,1457,3.18%,-1.8%,31.1%,0.492470836,0.622386534,-1.8%
836,83,3.24%,3.24%,6,34695,1129,3.25%,35836,1176,3.28%,0.8%,58.1%,-0.205691589,0.837031829,0.8%
837,83,3.24%,3.24%,7,45482,1473,3.24%,46076,1477,3.21%,-1.0%,38.8%,0.283333583,0.776921136,-1.0%
838,83,3.24%,3.24%,8,726,21,2.89%,716,20,2.79%,-3.2%,45.6%,0.113395681,0.909716864,-3.4%
839,83,3.24%,3.24%,9,20081,662,3.30%,20232,634,3.13%,-4.9%,17.7%,0.927662277,0.353582782,-4.9%
840,84,2.60%,2.62%,0,48203,1255,2.60%,46524,1265,2.72%,4.4%,86.5%,-1.103927425,0.269624621,4.4%
841,84,2.60%,2.62%,1,17183,434,2.53%,16638,441,2.65%,4.9%,76.5%,-0.722813122,0.469794704,4.9%
842,84,2.60%,2.62%,2,39570,1004,2.54%,42284,1119,2.65%,4.3%,83.7%,-0.98149543,0.326348487,4.3%
843,84,2.60%,2.62%,3,25400,648,2.55%,26721,694,2.60%,1.8%,63.0%,-0.331623067,0.740173899,1.8%
844,84,2.60%,2.62%,4,46090,1201,2.61%,52495,1401,2.67%,2.4%,73.1%,-0.61621398,0.537753303,2.4%
845,84,2.60%,2.62%,5,2832,67,2.37%,2463,71,2.88%,21.7%,88.1%,-1.177425287,0.239025802,21.8%
846,84,2.60%,2.62%,6,11343,279,2.46%,11182,295,2.64%,7.2%,80.2%,-0.849993176,0.39532888,7.3%
847,84,2.60%,2.62%,7,12910,324,2.51%,11990,291,2.43%,-3.3%,33.8%,0.419914276,0.674548079,-3.3%
848,84,2.60%,2.62%,8,26052,693,2.66%,27230,713,2.62%,-1.6%,38.2%,0.299677432,0.764423214,-1.6%
849,84,2.60%,2.62%,9,14550,385,2.65%,14897,366,2.46%,-7.1%,15.2%,1.029533524,0.303229035,-7.1%
850,85,6.98%,6.87%,0,19055,1362,7.15%,17876,1229,6.88%,-3.8%,15.3%,1.024971741,0.305376522,-3.8%
851,85,6.98%,6.87%,1,25893,1886,7.28%,26813,1767,6.59%,-9.5%,0.1%,3.134944754,0.001718865,-9.5%
852,85,6.98%,6.87%,2,47066,3342,7.10%,42101,3004,7.14%,0.5%,58.0%,-0.20035318,0.841204374,0.5%
853,85,6.98%,6.87%,3,4536,294,6.48%,4313,315,7.30%,12.7%,93.7%,-1.526803863,0.126809791,12.7%
854,85,6.98%,6.87%,4,1317,90,6.83%,1266,97,7.66%,12.0%,79.1%,-0.811989629,0.416797583,12.1%
855,85,6.98%,6.87%,5,45160,3100,6.86%,43404,3000,6.91%,0.7%,61.0%,-0.278003582,0.781009609,0.7%
856,85,6.98%,6.87%,6,9263,635,6.86%,8453,578,6.84%,-0.2%,48.2%,0.045860198,0.963421678,-0.3%
857,85,6.98%,6.87%,7,38200,2719,7.12%,39541,2728,6.90%,-3.1%,11.6%,1.193896433,0.232518483,-3.1%
858,85,6.98%,6.87%,8,42746,2935,6.87%,46922,3296,7.02%,2.3%,82.4%,-0.930965339,0.351871494,2.3%
859,85,6.98%,6.87%,9,33780,2352,6.96%,34774,2452,7.05%,1.3%,67.5%,-0.454043817,0.64979729,1.3%
860,86,3.33%,3.17%,0,29819,969,3.25%,31440,1000,3.18%,-2.1%,31.4%,0.483568535,0.62869211,-2.1%
861,86,3.33%,3.17%,1,6644,222,3.34%,6751,199,2.95%,-11.7%,9.6%,1.305574253,0.191697381,-11.8%
862,86,3.33%,3.17%,2,28444,1044,3.67%,32261,1061,3.29%,-10.4%,0.5%,2.56415842,0.010342633,-10.4%
863,86,3.33%,3.17%,3,11792,407,3.45%,9865,280,2.84%,-17.7%,0.5%,2.564179739,0.010341997,-17.8%
864,86,3.33%,3.17%,4,48260,1626,3.37%,47607,1460,3.07%,-9.0%,0.4%,2.652920294,0.007979871,-9.0%
865,86,3.33%,3.17%,5,34421,1159,3.37%,31811,1022,3.21%,-4.6%,13.3%,1.112515206,0.265916696,-4.6%
866,86,3.33%,3.17%,6,4390,164,3.74%,4170,125,3.00%,-19.6%,3.0%,1.889994062,0.058758754,-19.8%
867,86,3.33%,3.17%,7,6744,208,3.08%,7124,209,2.93%,-4.9%,30.2%,0.518627016,0.604020866,-4.9%
868,86,3.33%,3.17%,8,43292,1437,3.32%,36747,1154,3.14%,-5.4%,7.7%,1.425292536,0.154072657,-5.4%
869,86,3.33%,3.17%,9,7990,258,3.23%,7295,209,2.86%,-11.2%,9.6%,1.306287671,0.191454748,-11.3%
870,87,5.66%,5.24%,0,15997,879,5.49%,16145,823,5.10%,-7.2%,5.6%,1.590051676,0.111823157,-7.2%
871,87,5.66%,5.24%,1,43398,2482,5.72%,41825,2209,5.28%,-7.6%,0.3%,2.800391611,0.005104065,-7.7%
872,87,5.66%,5.24%,2,43957,2496,5.68%,46064,2467,5.36%,-5.7%,1.7%,2.120385607,0.033973539,-5.7%
873,87,5.66%,5.24%,3,1309,99,7.56%,1348,64,4.75%,-36.9%,0.1%,3.02333032,0.002500092,-37.2%
874,87,5.66%,5.24%,4,4830,276,5.71%,5230,292,5.58%,-2.3%,38.7%,0.284650451,0.775911955,-2.3%
875,87,5.66%,5.24%,5,20935,1222,5.84%,22415,1184,5.28%,-9.5%,0.6%,2.521748323,0.011677322,-9.5%
876,87,5.66%,5.24%,6,38850,2159,5.56%,40574,2188,5.39%,-3.0%,15.4%,1.019819995,0.307813839,-3.0%
877,87,5.66%,5.24%,7,21730,1232,5.67%,20305,1106,5.45%,-3.9%,16.0%,0.995296739,0.319591964,-3.9%
878,87,5.66%,5.24%,8,8740,482,5.51%,8977,466,5.19%,-5.9%,16.9%,0.957582581,0.338273286,-5.9%
879,87,5.66%,5.24%,9,12285,686,5.58%,11111,571,5.14%,-7.9%,6.6%,1.507449131,0.131695573,-8.0%
880,88,3.48%,3.72%,0,8980,332,3.70%,9271,314,3.39%,-8.4%,12.8%,1.133838745,0.256862195,-8.4%
881,88,3.48%,3.72%,1,41348,1426,3.45%,46187,1750,3.79%,9.8%,99.6%,-2.686992113,0.007209866,9.9%
882,88,3.48%,3.72%,2,30276,1036,3.42%,31741,1211,3.82%,11.5%,99.6%,-2.620648638,0.008776266,11.5%
883,88,3.48%,3.72%,3,29264,991,3.39%,30163,1115,3.70%,9.1%,98.0%,-2.044597059,0.0408946,9.2%
884,88,3.48%,3.72%,4,22669,818,3.61%,23740,866,3.65%,1.1%,58.9%,-0.226883992,0.82051395,1.1%
885,88,3.48%,3.72%,5,39429,1319,3.35%,38890,1396,3.59%,7.3%,96.9%,-1.869089466,0.061610368,7.3%
886,88,3.48%,3.72%,6,11388,420,3.69%,10848,389,3.59%,-2.8%,34.3%,0.406752771,0.684189578,-2.8%
887,88,3.48%,3.72%,7,35929,1222,3.40%,35780,1296,3.62%,6.5%,94.6%,-1.607443666,0.107957078,6.5%
888,88,3.48%,3.72%,8,46300,1578,3.41%,46845,1669,3.56%,4.5%,90.1%,-1.286212159,0.198369029,4.5%
889,88,3.48%,3.72%,9,3787,123,3.25%,4241,144,3.40%,4.4%,64.2%,-0.367858512,0.712978737,4.5%
890,89,7.70%,8.01%,0,24750,1922,7.77%,27832,2126,7.64%,-1.6%,29.2%,0.545163669,0.585640957,-1.6%
891,89,7.70%,8.01%,1,20291,1590,7.84%,18986,1559,8.21%,4.8%,91.4%,-1.36879802,0.17106242,4.8%
892,89,7.70%,8.01%,2,25135,2014,8.01%,23443,1861,7.94%,-0.9%,38.2%,0.302141915,0.762543881,-0.9%
893,89,7.70%,8.01%,3,32890,2554,7.77%,33243,2777,8.35%,7.6%,99.7%,-2.7788886,0.005454523,7.6%
894,89,7.70%,8.01%,4,14786,1177,7.96%,14096,1178,8.36%,5.0%,89.1%,-1.231578805,0.218106462,5.0%
895,89,7.70%,8.01%,5,3749,276,7.36%,3775,270,7.15%,-2.8%,36.3%,0.350480563,0.725978075,-2.8%
896,89,7.70%,8.01%,6,1673,119,7.11%,1598,133,8.32%,16.9%,90.3%,-1.297197478,0.194563248,17.0%
897,89,7.70%,8.01%,7,137,9,6.57%,125,5,4.00%,-34.3%,18.9%,0.923630305,0.35567883,-39.1%
898,89,7.70%,8.01%,8,14809,1139,7.69%,14547,1196,8.22%,6.9%,95.3%,-1.67908505,0.093135469,6.9%
899,89,7.70%,8.01%,9,20053,1512,7.54%,20370,1634,8.02%,6.4%,96.5%,-1.807046673,0.070755002,6.4%
900,90,3.87%,3.94%,0,44465,1792,4.03%,44799,1760,3.93%,-2.5%,21.9%,0.775517408,0.438033983,-2.5%
901,90,3.87%,3.94%,1,30526,1169,3.83%,28866,1170,4.05%,5.8%,91.9%,-1.400820647,0.161267713,5.8%
902,90,3.87%,3.94%,2,24372,954,3.91%,24515,928,3.79%,-3.3%,23.0%,0.740622773,0.458922196,-3.3%
903,90,3.87%,3.94%,3,7318,274,3.74%,7351,272,3.70%,-1.2%,44.4%,0.140804345,0.888024511,-1.2%
904,90,3.87%,3.94%,4,35894,1406,3.92%,33390,1304,3.91%,-0.3%,46.9%,0.079567273,0.936581425,-0.3%
905,90,3.87%,3.94%,5,29942,1230,4.11%,34338,1380,4.02%,-2.2%,28.4%,0.570747423,0.568170867,-2.2%
906,90,3.87%,3.94%,6,32572,1275,3.91%,31284,1242,3.97%,1.4%,64.1%,-0.361442075,0.717769,1.4%
907,90,3.87%,3.94%,7,5637,218,3.87%,5220,209,4.00%,3.5%,64.3%,-0.365656942,0.714621079,3.5%
908,90,3.87%,3.94%,8,27674,1116,4.03%,27680,1070,3.87%,-4.1%,15.7%,1.00905171,0.312949835,-4.1%
909,90,3.87%,3.94%,9,41322,1618,3.92%,41782,1654,3.96%,1.1%,62.5%,-0.319081538,0.749664683,1.1%
910,91,7.74%,8.34%,0,13407,1059,7.90%,14506,1181,8.14%,3.1%,77.2%,-0.745368783,0.45604881,3.1%
911,91,7.74%,8.34%,1,7132,548,7.68%,7339,585,7.97%,3.7%,74.0%,-0.643504025,0.519897104,3.7%
912,91,7.74%,8.34%,2,41512,3211,7.74%,43174,3469,8.03%,3.9%,94.7%,-1.618102037,0.10564061,3.9%
913,91,7.74%,8.34%,3,4096,344,8.40%,4247,348,8.19%,-2.4%,36.7%,0.338446184,0.735026976,-2.4%
914,91,7.74%,8.34%,4,24874,1996,8.02%,22585,1839,8.14%,1.5%,68.2%,-0.471578933,0.637227367,1.5%
915,91,7.74%,8.34%,5,18989,1456,7.67%,19678,1680,8.54%,11.3%,99.9%,-3.132328972,0.001734254,11.3%
916,91,7.74%,8.34%,6,12948,1009,7.79%,13170,1093,8.30%,6.5%,93.4%,-1.504314924,0.132500298,6.5%
917,91,7.74%,8.34%,7,9857,750,7.61%,9805,801,8.17%,7.4%,92.8%,-1.457823686,0.144889148,7.4%
918,91,7.74%,8.34%,8,35048,2725,7.78%,36361,2977,8.19%,5.3%,97.9%,-2.031943947,0.042159331,5.3%
919,91,7.74%,8.34%,9,28343,2199,7.76%,30645,2516,8.21%,5.8%,97.8%,-2.02080324,0.043300137,5.8%
920,92,1.97%,1.77%,0,31365,627,2.00%,33687,583,1.73%,-13.4%,0.6%,2.531802169,0.0113478,-13.4%
921,92,1.97%,1.77%,1,44624,875,1.96%,47945,817,1.70%,-13.1%,0.2%,2.914363085,0.003564151,-13.1%
922,92,1.97%,1.77%,2,20287,412,2.03%,21032,381,1.81%,-10.8%,5.2%,1.624510221,0.104266961,-10.8%
923,92,1.97%,1.77%,3,16443,336,2.04%,17710,290,1.64%,-19.8%,0.3%,2.794349021,0.005200432,-19.9%
924,92,1.97%,1.77%,4,10831,210,1.94%,10546,166,1.57%,-18.7%,2.1%,2.028707331,0.042488109,-18.8%
925,92,1.97%,1.77%,5,6690,139,2.08%,6888,115,1.67%,-19.5%,4.0%,1.754976632,0.079263305,-19.6%
926,92,1.97%,1.77%,6,20060,391,1.95%,20586,363,1.76%,-9.5%,8.3%,1.388097952,0.16510722,-9.5%
927,92,1.97%,1.77%,7,29601,591,2.00%,29295,515,1.76%,-11.9%,1.6%,2.132621838,0.03295576,-11.9%
928,92,1.97%,1.77%,8,38997,773,1.98%,40302,663,1.65%,-17.0%,0.0%,3.559260553,0.0003719,-17.0%
929,92,1.97%,1.77%,9,35960,741,2.06%,39525,697,1.76%,-14.4%,0.1%,2.983084213,0.002853595,-14.4%
930,93,4.28%,4.57%,0,30012,1286,4.28%,29907,1427,4.77%,11.3%,99.8%,-2.863902579,0.004184567,11.4%
931,93,4.28%,4.57%,1,26275,1203,4.58%,29256,1391,4.75%,3.8%,83.7%,-0.981749778,0.326223136,3.8%
932,93,4.28%,4.57%,2,4974,181,3.64%,4813,207,4.30%,18.1%,95.3%,-1.677801739,0.09338581,18.2%
933,93,4.28%,4.57%,3,9138,358,3.92%,9047,429,4.74%,21.0%,99.7%,-2.731043286,0.006313418,21.0%
934,93,4.28%,4.57%,4,10225,434,4.24%,10471,465,4.44%,4.6%,75.6%,-0.692776856,0.488449599,4.6%
935,93,4.28%,4.57%,5,2570,107,4.16%,2597,101,3.89%,-6.5%,30.8%,0.501594305,0.615952926,-6.6%
936,93,4.28%,4.57%,6,12245,536,4.38%,11565,510,4.41%,0.8%,54.9%,-0.122527191,0.902481513,0.7%
937,93,4.28%,4.57%,7,33690,1444,4.29%,31887,1408,4.42%,3.0%,79.2%,-0.812370785,0.416578905,3.0%
938,93,4.28%,4.57%,8,24228,1020,4.21%,25643,1193,4.65%,10.5%,99.2%,-2.397517091,0.016506611,10.5%
939,93,4.28%,4.57%,9,44604,1923,4.31%,44649,2063,4.62%,7.2%,98.7%,-2.236150082,0.025341942,7.2%
940,94,3.93%,4.10%,0,9385,332,3.54%,9501,388,4.08%,15.4%,97.5%,-1.959945776,0.050002128,15.4%
941,94,3.93%,4.10%,1,2442,79,3.24%,2485,112,4.51%,38.8%,99.0%,-2.312534065,0.02074827,39.3%
942,94,3.93%,4.10%,2,24449,988,4.04%,25549,1039,4.07%,0.6%,55.7%,-0.145255027,0.884509521,0.6%
943,94,3.93%,4.10%,3,47452,1824,3.84%,47851,1888,3.95%,2.6%,79.1%,-0.811339562,0.417170697,2.6%
944,94,3.93%,4.10%,4,10516,447,4.25%,9970,412,4.13%,-2.8%,33.7%,0.422130618,0.672929681,-2.8%
945,94,3.93%,4.10%,5,37493,1394,3.72%,37002,1532,4.14%,11.4%,99.8%,-2.966619016,0.003010938,11.4%
946,94,3.93%,4.10%,6,28257,1091,3.86%,29043,1177,4.05%,5.0%,88.0%,-1.176186033,0.239520545,5.0%
947,94,3.93%,4.10%,7,21688,849,3.91%,22423,917,4.09%,4.5%,82.5%,-0.936983794,0.348766894,4.5%
948,94,3.93%,4.10%,8,15641,603,3.86%,14877,605,4.07%,5.5%,82.8%,-0.946866758,0.343706679,5.5%
949,94,3.93%,4.10%,9,31487,1246,3.96%,35559,1437,4.04%,2.1%,71.0%,-0.553715008,0.579773903,2.1%
950,95,7.11%,7.71%,0,23223,1651,7.11%,23065,1787,7.75%,9.0%,99.6%,-2.618741887,0.00882547,9.0%
951,95,7.11%,7.71%,1,4977,329,6.61%,4828,361,7.48%,13.1%,95.3%,-1.677689014,0.093407825,13.1%
952,95,7.11%,7.71%,2,8708,627,7.20%,8797,669,7.60%,5.6%,84.7%,-1.022213847,0.306679699,5.6%
953,95,7.11%,7.71%,3,31886,2291,7.18%,32124,2539,7.90%,10.0%,100.0%,-3.442481194,0.000576404,10.0%
954,95,7.11%,7.71%,4,34708,2505,7.22%,35111,2618,7.46%,3.3%,88.7%,-1.210915446,0.225927812,3.3%
955,95,7.11%,7.71%,5,42632,3047,7.15%,44043,3393,7.70%,7.8%,99.9%,-3.123836984,0.001785093,7.8%
956,95,7.11%,7.71%,6,6638,434,6.54%,6793,540,7.95%,21.5%,99.9%,-3.152971468,0.001616176,21.6%
957,95,7.11%,7.71%,7,35207,2536,7.20%,32600,2525,7.75%,7.5%,99.6%,-2.684587607,0.007261935,7.5%
958,95,7.11%,7.71%,8,7885,599,7.60%,7903,616,7.79%,2.6%,67.9%,-0.46626931,0.641022743,2.6%
959,95,7.11%,7.71%,9,1942,153,7.88%,1936,159,8.21%,4.2%,64.9%,-0.38273125,0.701919041,4.2%
960,96,7.70%,7.06%,0,18524,1388,7.49%,18536,1273,6.87%,-8.3%,1.0%,2.331293847,0.01973787,-8.3%
961,96,7.70%,7.06%,1,41035,3133,7.63%,36932,2678,7.25%,-5.0%,2.1%,2.037306592,0.041619328,-5.0%
962,96,7.70%,7.06%,2,47002,3561,7.58%,43512,3081,7.08%,-6.5%,0.2%,2.856132127,0.004288366,-6.5%
963,96,7.70%,7.06%,3,28439,2211,7.77%,31610,2208,6.99%,-10.2%,0.0%,3.699175323,0.000216301,-10.2%
964,96,7.70%,7.06%,4,20249,1535,7.58%,20724,1413,6.82%,-10.1%,0.1%,2.98603209,0.00282623,-10.1%
965,96,7.70%,7.06%,5,4961,389,7.84%,4478,338,7.55%,-3.7%,29.8%,0.533397854,0.593758203,-3.7%
966,96,7.70%,7.06%,6,5186,388,7.48%,5387,404,7.50%,0.2%,51.4%,-0.034864352,0.972187906,0.2%
967,96,7.70%,7.06%,7,24437,1920,7.86%,22913,1645,7.18%,-8.6%,0.3%,2.792613457,0.005228413,-8.6%
968,96,7.70%,7.06%,8,19177,1486,7.75%,19818,1448,7.31%,-5.7%,4.9%,1.655648319,0.097793059,-5.7%
969,96,7.70%,7.06%,9,34115,2585,7.58%,35156,2574,7.32%,-3.4%,10.0%,1.281322486,0.200080418,-3.4%
970,97,1.95%,1.88%,0,36419,724,1.99%,35510,688,1.94%,-2.5%,31.3%,0.488023014,0.62553354,-2.5%
971,97,1.95%,1.88%,1,44114,808,1.83%,37506,705,1.88%,2.6%,69.5%,-0.507524717,0.611786698,2.6%
972,97,1.95%,1.88%,2,33202,637,1.92%,33030,625,1.89%,-1.4%,40.2%,0.247912726,0.804201933,-1.4%
973,97,1.95%,1.88%,3,20271,399,1.97%,21891,398,1.82%,-7.6%,12.9%,1.131730641,0.257747695,-7.6%
974,97,1.95%,1.88%,4,48763,894,1.83%,54455,1017,1.87%,1.9%,65.8%,-0.407402289,0.683712546,1.9%
975,97,1.95%,1.88%,5,9336,183,1.96%,9346,173,1.85%,-5.5%,29.3%,0.54531929,0.585533939,-5.6%
976,97,1.95%,1.88%,6,28357,558,1.97%,26985,517,1.92%,-2.6%,33.0%,0.442100662,0.658416365,-2.6%
977,97,1.95%,1.88%,7,46192,876,1.90%,43468,830,1.91%,0.7%,55.7%,-0.142595603,0.88660957,0.7%
978,97,1.95%,1.88%,8,32155,621,1.93%,34074,621,1.82%,-5.6%,15.1%,1.031290019,0.302404837,-5.6%
979,97,1.95%,1.88%,9,14586,293,2.01%,15817,304,1.92%,-4.3%,29.2%,0.544920785,0.585808,-4.3%
980,98,8.26%,8.36%,0,33655,2815,8.36%,31186,2623,8.41%,0.6%,58.5%,-0.213618454,0.830844607,0.6%
981,98,8.26%,8.36%,1,23578,1960,8.31%,21648,1762,8.14%,-2.1%,25.1%,0.670745459,0.502382698,-2.1%
982,98,8.26%,8.36%,2,7634,592,7.75%,7985,606,7.59%,-2.1%,34.9%,0.388639559,0.697542799,-2.1%
983,98,8.26%,8.36%,3,6090,462,7.59%,6493,513,7.90%,4.1%,74.5%,-0.659650791,0.509477952,4.1%
984,98,8.26%,8.36%,4,2987,250,8.37%,3110,256,8.23%,-1.7%,42.2%,0.195388608,0.845088734,-1.6%
985,98,8.26%,8.36%,5,7150,629,8.80%,7036,568,8.07%,-8.2%,6.0%,1.552065025,0.120646665,-8.2%
986,98,8.26%,8.36%,6,24958,2055,8.23%,29021,2392,8.24%,0.1%,51.4%,-0.035703337,0.97151891,0.1%
987,98,8.26%,8.36%,7,24800,2000,8.06%,27500,2243,8.16%,1.1%,64.9%,-0.384145334,0.700870733,1.1%
988,98,8.26%,8.36%,8,14463,1190,8.23%,15452,1274,8.24%,0.2%,52.1%,-0.053431991,0.957387717,0.2%
989,98,8.26%,8.36%,9,40962,3306,8.07%,43946,3582,8.15%,1.0%,66.5%,-0.426736741,0.669571087,1.0%
990,99,6.07%,6.67%,0,41017,2402,5.86%,40282,2663,6.61%,12.9%,100.0%,-4.451835463,8.51E-06,12.9%
991,99,6.07%,6.67%,1,30825,1894,6.14%,29912,1973,6.60%,7.3%,98.9%,-2.279165302,0.022657241,7.4%
992,99,6.07%,6.67%,2,26613,1638,6.15%,28462,1882,6.61%,7.4%,98.6%,-2.193223345,0.028291291,7.4%
993,99,6.07%,6.67%,3,38464,2300,5.98%,40315,2722,6.75%,12.9%,100.0%,-4.434680938,9.22E-06,12.9%
994,99,6.07%,6.67%,4,20857,1189,5.70%,19258,1307,6.79%,19.0%,100.0%,-4.498991631,6.83E-06,19.1%
995,99,6.07%,6.67%,5,48585,2890,5.95%,41755,2834,6.79%,14.1%,100.0%,-5.1601892,2.47E-07,14.1%
996,99,6.07%,6.67%,6,13829,807,5.84%,12719,871,6.85%,17.3%,100.0%,-3.38673838,0.000707288,17.3%
997,99,6.07%,6.67%,7,35210,2047,5.81%,34520,2321,6.72%,15.6%,100.0%,-4.957827297,7.13E-07,15.7%
998,99,6.07%,6.67%,8,21894,1308,5.97%,22181,1458,6.57%,10.0%,99.5%,-2.592353018,0.00953219,10.0%
999,99,6.07%,6.67%,9,40347,2410,5.97%,39016,2572,6.59%,10.4%,100.0%,-3.594041293,0.000325588,10.4%
